"id","clubName","clubID","clubCity","clubEmail","clubWebsite","clubPhone"
"556","Pesse","BBBC90N","PESSE","gekedevries33@gmail.com","http://www.svpesse.nl/","06 - 33 83 50 00"
"557","Zuidhorn","BBBF65O","ZUIDHORN","vvzuidhorn@hotmail.nl","http://www.vvzuidhorn.nl","0594-529633"
"558","Vuren","BBJC783","VUREN","info@vvvuren.nl","http://www.vvvuren.nl","0183-634982"
"559","Blauw Wit","BBKS313","NIJMEGEN","secretaris@svblauwwit.nl","http://www.svblauwwit.nl","06-12033469"
"560","Nieuwenhoorn","BBFB32K","HELLEVOETSLUIS","info@nieuwenhoorn.nl","http://www.nieuwenhoorn.nl","0181-313720"
"561","VVOP","BBBZ94U","VOORTHUIZEN","wedstrijdsecretaris@vvop.nl","http://www.vvop.nl","0341-353822"
"562","ADO '20","BBFW04C","HEEMSKERK","secretaris@ado20.nl","http://www.ado20.nl",
"563","FC Twente/Heracles Academie","GCPY167","HENGELO OV","trainingscentrum@fctwente.nl","http://www.fctwente.nl","074-8505404"
"564","DRC","BBCY35F","AMSTERDAM","m.vanruitenbeek@vrmsales.nl","http://www.drc.nl","020-4904629"
"565","NSV","BBJC015","NISPEN","secretariaat@nsv-nispen.nl","http://www.nsv-nispen.nl","0613951234"
"566","Beilen","BBBF04Z","BEILEN","secretaris@vvbeilen.nl","http://www.vvbeilen.nl","0593-540273"
"567","SC Balkbrug","BBKX43X","BALKBRUG","secretariaat@scbalkbrug.nl","http://www.scbalkbrug.nl","0615897825"
"568","Rohda '76","BBDY32J","BODEGRAVEN","info@rohda76.nl","http://www.rohda76.nl","0172-614959"
"569","BEW","BBBC11O","VLEDDER","secretaris@vvbew.nl","http://www.vvbew.nl","06-29555450"
"570","zvv Nieuweboer Architecten","BBFY514","WERVERSHOOF","secretaris@nieuweboerzaalvoetbal.nl","http://www.nieuweboerzaalvoetbal.nl","0228-583706"
"571","RZV Schijndel'94","BBJL37Z",,"zaalvoetbal_schijndel@hotmail.com","http://www.zvschijndel.nl","073-5470325"
"572","AZV (Amstelveen)","BBCZ76X","AMSTERDAM","hans@harobeko.nl","http://www.zv-azv.nl","020-6154797"
"573","Oosterheem","FSWB80R","ZOETERMEER","secretaris@svoosterheem.nl","http://www.svoosterheem.nl","079 3238990"
"574","Ens","BBBB39X","ENS","secretaris@svensvoetbal.nl","http://www.svensvoetbal.nl","0527-254231"
"575","Coal","BBDZ19P","ROTTERDAM","denrooijen@planet.nl","http://www.rvvcoal.nl","0618106840"
"576","Kawin","BBJK51U","LEERDAM","s.roege@gmail.com","http://www.fckawin.nl","06-21131131"
"577","RKSVV","BBJV26D","WEERT","secretariaat@rksvv.nl","http://www.rksvv.nl",
"578","Leonidas","BBFC39W","ROTTERDAM","rksvleonidas@outlook.com","http://www.rksvleonidas.com","010-4181351"
"579","PKC'83","BBBC95I","GRONINGEN","pkc83@pkc83.nl","http://www.pkc83.nl","06-24145998"
"580","HSSC'61","BBHY48M","HEI- EN BOEICOP","secretaris@hssc61.nl","http://www.hssc61.nl","0345-642400"
"581","Stadskanaal","BBBL80V","STADSKANAAL","henkjanveninga@hotmail.com","http://www.scstadskanaal.nl",
"582","Nieuw Utrecht SV","BBBZ91R","UTRECHT","hasanozkilit@hotmail.com","http://www.svnieuwutrecht.nl","06-24239842"
"583","PVCV","BBBZ19B","VLEUTEN","wedstrijdsecretariaat@pvcv.nl","http://www.pvcv.nl","030-6663520"
"584","SC EDS","BBKX52Z","ELLECOM","h.scheer4@chello.nl","http://www.sportclubeds.nl","06-20588760"
"585","Hillegersberg, vv","FNRC65X","ROTTERDAM","secretaris@vvhillegersberg.nl","https://www.vvhillegersberg.nl/","010-4183508"
"586","HHC Hardenberg","BBKR80M","HARDENBERG","info@hhc-hardenberg.nl","http://www.hhc-hardenberg.nl","0523-216945"
"587","Broekland","BBKX19U","BROEKLAND OV","secretariaat.voetbal@svbroekland.nl","http://www.svbroekland.nl","06-46181238"
"588","VV Born","BBJS578","BORN","secretaris@vvborn.nl","http://www.vvborn.nl","06-30569709"
"589","Geertruidse Boys","BBJS22S","SINT GEERTRUID","renehabets@hotmail.com","http://www.geertruidseboys.nl","0612506517"
"590","DSC","BBJK28S","KERKDRIEL","hansverhoeven65@live.nl","http://www.vvdsc.nl","06-30531281"
"591","Broekster Boys","BBBH45S","DAMWALD","secretaris@broeksterboys.nl","http://www.broeksterboys.nl","0511-424766"
"592","SC Stadspark","QKRW38X","GRONINGEN","mail@scstadspark.nl","http://www.scstadspark.nl","06-52538093"
"593","Onze Gezellen","BBCY91T","HAARLEM","secretaris@onzegezellen.com","http://www.onzegezellen.com/voetbal/","023-5633949"
"594","Sparta'30","BBJB995","ANDEL","antoinette_1985@hotmail.com","http://www.sparta30.nl","06-10018450"
"595","SVBV","BBKV015","BARCHEM","secretariaat@svbvbarchem.nl","http://www.svbvbarchem.nl",
"596","Wildervank","BBBF30K","WILDERVANK","b.koster@netvisit.nl","http://www.vvwildervank.nl","0598-614185"
"597","Egchel","BBJT182","PANNINGEN","thijs.joosten@ziggo.nl","http://www.svegchel.nl","077-3078321"
"598","Graaf W II VAC","BBGV45V","WASSENAAR","secretaris@graafwillem.nl","http://www.graafwillem.nl","070-5172083"
"599","Zwaagdijk RKVV","BBFX44X","ZWAAGDIJK-OOST","rens_van_diepen@hotmail.com","http://www.rkvvzwaagdijk.nl","06-53584619"
"600","Overmaas","BBDX85W","ROTTERDAM","info@overmaas.org","http://www.overmaas.org","06-13722000"
"601","Sprinkhanen","BBKS56E","DIDAM","f.buiting2@chello.nl","http://www.sprinkhanen.nl","06-21677288"
"602","SJO DBF","RSHJ714","DEN BOMMEL","info@2lfs.nl","http://www.sjodbf.nl","06-17459144"
"603","Sportclub Leeuwen","BBJW91Y","ROERMOND","secretaris@scleeuwen.nl","http://www.scleeuwen.nl",
"604","De Kilo ZVV","BBJW19I","BERG EN TERBLIJT","zvvdekilo@gmail.com",,"06-11165579"
"605","FC Ulu Spor","BBKV853","ZWOLLE","fculuspor@hotmail.com","http://fculuspor.nl","038-4541551"
"606","SSC'55","BBHZ896","SPRANG-CAPELLE","secretaris@ssc55.nl","http://www.ssc55.nl","06-51025621"
"607","Angerlo Vooruit","BBKY00T","ANGERLO","rene-lamers60@hotmail.com","http://www.angerlovooruit.nl","0313-471854"
"608","Annour/MADIBA","BBCC94O","AMERSFOORT","tarik@vuurvogelamersfoort.nl",,"0611583606"
"609","Veldhoek","BBKW03C","HENGELO GLD","j.a.berenpas@gmail.com",,"0575-556510"
"610","Zwaluwe","BBJG152","LAGE ZWALUWE","info@vvzwaluwe.nl","http://www.vvzwaluwe.nl","0168-483540"
"611","CION","BBFC10R","VLAARDINGEN","cducaneaux@gmail.com","http://www.cionvlaardingen.nl/","0629012109"
"612","Meedhuizen","BBBF49M","MEEDHUIZEN","jelke_blaauw@hotmail.com","http://www.vvmeedhuizen.nl","06-48733799"
"613","Biervliet","BBHT45S","BIERVLIET","bestuur@vvbiervliet.nl","http://www.vvbiervliet.nl","0115-850955"
"614","WVC","BBGW84D","ROELOFARENDSVEEN","secretaris@sv-wvc.nl","http://www.sv-wvc.nl","071-3316868"
"615","Simonshaven","BBDX78W","SIMONSHAVEN","svssecretaris@hotmail.com","http://www.svsimonshaven.com",
"616","Elspeet","BBKW25O","ELSPEET","martin@vv-elspeet.nl","http://www.vv-elspeet.nl","06-10839965"
"617","Fit Boys","BBBB713","BEILEN","secretaris@fitboys.nl","http://www.fitboys.nl","0593-540264"
"618","Vrederust","BBJG369","HALSTEREN","bestuurvrederust@gmail.com","https://www.vvvrederust.nl/","06-44304898"
"619","Prins Bernhard","BBKS53B","UDDEL","schouten.peter@live.nl","http://www.svprinsbernhard.nl","0610520730"
"620","Sparta'25","BBJJ20P","BEEK EN DONK","secretaris@sparta25.nl","http://www.sparta25.nl","06-23631516"
"621","SJO Arum/Stormvogels '64","SSTQ31M","ARUM","rftolsmaoosterbaan@hotmail.com","https://vvarum.nl",
"622","VVK","BBBJ21S","GRONINGEN","secretaris@vvkgroningen.nl","http://www.vvkgroningen.nl","050-3646643"
"623","Bekkerveld","BBJS305","HEERLEN","secretaris@bekkerveld.com","http://www.bekkerveld.com","045-8516726"
"624","DVSA","BBBZ072","AMERONGEN","secretaris@dvsa.nl","http://www.dvsa.nl","0343-452925"
"625","DKB","BBKR514","DE KRIM","dkbsecretaris@outlook.com","http://www.vv-dkb.nl","06-83250640"
"626","Dos Kampen","BBKV57U","KAMPEN","secretaris@doskampen.nl","http://www.doskampen.nl","038-33131900"
"627","Schoonhoven","BBDX69U","SCHOONHOVEN","secretariaat@vvschoonhoven.nl","http://www.vvschoonhoven.nl","0182 - 38 27 78"
"628","VCO","BBJD42R","ZEELAND","landerd@vereniging.fnv.nl","http://www.vvvco.nl","0486-453666/06-53184995"
"629","Cluzona","BBHY097","WOUW","secretaris@cluzona.nl","http://www.cluzona.nl","06-50522519"
"630","Mestreech ZVV","BBJV55L",,"d.denbrok@home.nl",,"043-3433646"
"631","Zouaven (de)","BBFX38Y","GROOTEBROEK","renedevries@vvdezouaven.nl","http://www.vvdezouaven.nl","0228-517714"
"632","Heeten","BBKR16V","HEETEN","secretariaat@svheeten.nl","https://www.svheeten.nl","+31650268955"
"633","Achilles Reek","BBHT13H","REEK","info@achillesreek.nl","http://www.achillesreek.nl","0486-423468"
"634","Nieuwe Niedorp","BBFW662","NIEUWE NIEDORP","secretaris@vvnieuweniedorp.nl","http://www.vvnieuweniedorp.nl","06-52092106"
"635","Marienheem","BBKR282","MARIENHEEM","secretariaat@svmarienheem.nl","http://www.svmarienheem.nl","0572-356496"
"636","Roda '46","BBCC78M","LEUSDEN","secretaris@roda46.nl","http://www.roda46.nl","033-4940689"
"637","HSC'28","BBJJ82Z","HEERLE","info@hsc28.nl","http://www.hsc28.nl","06-51816334"
"638","HV/Veerhuys","BBGB78B","HOORN NH","veerhuys@quicknet.nl","https://www.veerhuysfutsal.nl",
"639","Willem I","BBJT63C","MAASTRICHT","roel.schoenmaeckers@home.nl","http://www.rkvvwillem1.webs.com","06-52327297"
"640","Sporting Sittard'13","BBJS05L","SITTARD","info.almania@tiscali.nl","http://www.sportingsittard13.nl","046-4510498"
"641","Hoeve Vooruit","BBKW46V","HAAKSBERGEN","judithwinkelhuis@hotmail.com","http://www.hoevevooruit.nl","06-12223457"
"642","v.v. Hellendoorn","FZTG08A","HELLENDOORN","bestuur@vvhellendoorn.nl","http://www.vvhellendoorn.nl","0548654859"
"643","Leones","BBKX532","BENEDEN-LEEUWEN","info@sv-leones.nl","http://www.sv-leones.nl","0487-591940"
"644","SCMH","BBHY86W","VEGHEL","cvd.graaf@home.nl","http://www.scmh.nl","06-13906526"
"645","Victoria'03","BBJD928","OUDENBOSCH","info@vvvictoria03.nl","http://www.vvvictoria03.nl","06-41701915"
"646","VAKO","BBBC98L","VRIES","secretaris@vakovoetbal.nl","http://www.vakovoetbal.nl","06-22494353"
"647","SC Twijzel","BBBG16F","TWIJZEL","sctwijzel@hotmail.com","https://www.sctwijzel.nl","0511-840930"
"648","Hoofdplaat","BBHW334","HOOFDPLAAT","pmvermue@zeelandnet.nl","http://www.vvhoofdplaat.nl","0117348632"
"649","Rotterdam United","BBFC34R","ROTTERDAM","info@rdamunited.nl","http://www.rdamunited.nl/","06-22514123"
"650","WVW","BBKT004","WEURT","secretaris@wvwweurt.nl","http://www.wvwweurt.nl","024-6773439"
"651","Roden","BBBC08O","RODEN","wietserozema@home.nl","http://www.vvroden.nl","0641547560"
"652","Rijnvogels, fc","BBGX295","KATWIJK ZH","secretariaat@fcrijnvogels.nl","http://www.fcrijnvogels.nl","071-4076233"
"653","ZVVG","SWBT97D","BORN","rubennelissen@home.nl",,"06-20393974"
"654","v.v. Dieren","PJQX58D","DIEREN","secretaris@vvdieren.nl","http://www.vvdieren.nl/","0313-427938"
"655","Wissel","BBKZ299","EPE","contact@svwissel.nl","http://www.svwissel.nl","06-51368213"
"656","Teylingen","BBGX446","SASSENHEIM","voorzitter@rkvvteylingen.nl","http://www.rkvvteylingen.nl","0252-215006"
"657","HMVV","BBJH51F","HOOGE MIERDE","secretaris@hmvv.nl","http://www.hmvv.nl","06-22620647"
"658","Arnhemse Boys Schuytgraaf","BBKS21Y","ARNHEM","renealbers@arnhemseboys.nl","http://www.arnhemseboys.nl/","026-3799504"
"659","Eenrum","BBBH48V","EENRUM","algemeenbestuur@vveenrum.nl","http://www.vveenrum.nl",
"660","Albatross","BBKW917","UGCHELEN","secretaris@uvvalbatross.nl","http://uvvalbatross.nl","055-5349671"
"661","RKVVO","BBHV93H","VELDHOVEN","secretaris@rkvvo.nl","http://www.rkvvo.nl","06-13874372"
"662","B en O Team","BBCD52F","ODIJK","hansderoon@versatel.nl",,"06-20699462"
"663","Renswoude","BBBZ70U","RENSWOUDE","manondoornbos@hotmail.com","http://www.vvrenswoude.nl",
"664","RKDVC","BBHT959","DRUNEN","info@rkdvc.nl","http://www.rkdvc.nl","0416-374728"
"665","TAVV","BBGX387","TER AAR","info@tavv.nl","http://www.tavv.nl","0172-603326"
"666","Helios","BBKZ67J","DEVENTER","secretaris@svhelios.nl","http://www.svhelios.nl",
"667","Steeds Hooger","BBDY989","ROTTERDAM","secretaris@steedshooger.nl","http://www.steedshooger.nl","010-4158803"
"668","DVVA csv.","BBCY41E","AMSTERDAM","secretaris@dvva.nl","http://www.dvva.nl",
"669","RKDSO","BBJW82W","LOMM","secretariaat@rkdso.nl","http://www.rkdso.nl","077-4734232"
"670","ASC '62","BBKV34L","DALFSEN","secretaris@asc62.nl","http://www.asc62.nl","0529-467844"
"671","FC Lewenborg","BBBF052","GRONINGEN","lydia-de-vries@home.nl","http://www.fclewenborg.nl",
"672","UVV'40","BBJD21K","ULVENHOUT","secretaris@uvv40.nl","http://www.uvv40.nl","076-5612654"
"673","Terwolde","BBKY548","TERWOLDE","svterwoldesecretariaat@outlook.com","https://www.svterwolde.nl","06-53652603"
"674","vv Nijland","BBBB768","NIJLAND","info@vvnijland.nl","http://www.vvnijland.nl","0515-569448"
"675","GVVV","BBCB01J","VEENENDAAL","secretaris@gvvv.nl","http://www.gvvv.nl","0318-514562"
"676","DVS","BBJC886","WAALRE","secretaris@dvs-voetbal.nl","http://www.dvs-voetbal.nl","06-22634347"
"677","PSZ","BBFW99E","ZAANDAM","psz_zaandam@live.nl","http://www.vvpsz.nl","075 616 7190"
"678","EMK","BBJD07G","NUENEN","lbjkoenen@gmail.com","http://www.vvemk.nl","040-2835424"
"679","Scharnegoutum'70","BBBC33W","SCHARNEGOUTUM","josvanschepen@gmail.com","http://www.vvscharnegoutum.nl","0515-417382"
"680","In de Bende'92/Bestrating van Delft","BBJV80Z","LANDGRAAF","erkensrj@home.nl","http://www.indebende92.nl","045-5318131"
"681","Den Dungen","BBHX42B","DEN DUNGEN","knvb@scdendungen.nl","http://www.scdendungen.nl","073-5941800"
"682","Bernardus","BBGW97J","HAZERSWOUDE-RIJNDIJK","secretaris@bernardus.nl","http://www.bernardus.nl","06-27098329"
"683","WIK'57","BBJL91D","KERKWERVE","niels@svwik57.nl","http://www.svwik57.nl","06-19660855"
"684","LSV","BBKT81N","ENSCHEDE","secretaris@lsv-lonneker.nl","http://www.lsv-lonneker.nl","06-10089084"
"685","Zeelandia Middelburg","BBJB33F","MIDDELBURG","info@zeelandiamiddelburg.nl","http://www.zeelandiamiddelburg.nl","0118-628774"
"686","FC Aalsmeer","QLGN67W","AALSMEER","elly.zekveld@gmail.com","http://www.fcaalsmeer.nl",
"687","Marrum","BBBF38I","MARRUM","bestuur@vvmarrum.nl","http://www.vvmarrum.nl","0518-411808"
"688","Ons Genoegen","BBCC00X","UTRECHT","martinharterink@gmail.com",,"06-47244555"
"689","BMC","BBHW54B","BERLICUM NB","info@vvbmcberlicum.nl","http://www.vvbmcberlicum.nl","073-5034723"
"690","Excelsior M.","BBDZ41Q","MAASSLUIS","secretaris@excelsior-m.nl","http://www.excelsior-m.nl","010-5917012"
"691","AVC","BBBB61Y","SEXBIERUM","secretaris@avcsexbierum.nl","http://www.avcsexbierum.nl","0517-592115"
"692","Ster, De","BBGV675","'S-GRAVENHAGE","scsvdester@gmail.com","http://www.scsvdester.nl","0653449724"
"693","Urk","BBBC86G","URK","secretaris@svurk.nl","http://www.svurk.nl","06-83179285"
"694","UNI ZVV","BBKZ70P","NIJMEGEN","guidonsnk@hotmail.com",,"06-52678831"
"695","SKV","BBKV68Y","WAGENINGEN","secretaris@skv-wageningen.nl","http://www.skv-wageningen.nl/","06-22379633"
"696","Merino's de","BBBZ67O","VEENENDAAL","info@demerinos.nl","http://www.demerinos.nl","0615965918"
"697","Acht","BBHT20R","EINDHOVEN","info@vvacht.nl","http://www.vvacht.nl","040-2027477"
"698","EMS","BBJW56R","ROERMOND","ronnyneelen@home.nl","http://www.svems.nl","06-13190254"
"699","AFC IJburg","MMBS206","AMSTERDAM","secretaris@afcijburg.com","http://www.afcijburg.com","020 - 8208044"
"700","Drenkwaard","BBDZ825","ZUIDLAND","zvvdrenkwaard@gmail.com","http://www.zvv-drenkwaard.nl","0620-684687"
"701","Cito","BBHY042","OSS","info@rksvcito.nl","http://www.rksvcito.nl","06-13122439"
"702","SV Putten","BBCD215","PUTTEN","secretaris@sv-putten.nl","http://www.sv-putten.com",
"703","Hercules","BBBZ41C","UTRECHT","j.vgeelen@hccnet.nl","http://www.usvhercules.nl","06-46888375"
"704","FJV'09","MMBS343","SOEST","fatih.gunduz@live.com",,"0652687124"
"705","LZVV/Sport 2000","BBFX542","ZUID-SCHARWOUDE","adribrink@hotmail.com",,"0226-315450"
"706","Jonathan","BBBZ06Z","ZEIST","info@vvjonathan.nl","http://www.vvjonathan.nl","030-6924583"
"707","DSS'14","BBJJ40V","HEESSELT","algemeen@dss14.nl","http://www.dss14.nl","0344-652193"
"708","Espel","BBBM43H","ESPEL","anjabeugels71@hotmail.nl","http://www.scespel.nl","06-43530316"
"709","Prinsenland","PLMS368","DINTELOORD","secretariaat@vvprinsenland.nl","http://www.vvprinsenland.nl","0167-523760"
"710","Theo Tol Sport","BBFZ15Z","VOLENDAM","vincenttol76@gmail.com",,"0651375069"
"711","Assendelft","BBFW29R","ASSENDELFT","secretaris@vvassendelft.nl","http://www.vvassendelft.nl","06-82004339"
"712","Graauw","BBHV75D","GRAAUW","secretaris@vvgraauw.nl","http://www.vvgraauw.nl","06-51010384"
"713","Buinen","BBBB816","BUINEN","info@vv-buinen.nl","http://www.vv-buinen.nl","06-40250670"
"714","Beekbergen","BBKS368","BEEKBERGEN","info@vvbeekbergen.nl","http://www.vvbeekbergen.nl","055-5061928"
"715","V.V. Achates","BBJW47P","OTTERSUM","info@achates.nl","http://www.achates.nl","0485-517605"
"716","Haddekik FC","BBCB72B","MAARSSEN","edinedebruijn@hotmail.com","http://zvvhaddekik.nl","06-29322122"
"717","Wilhelmina","BBJF515","'S-HERTOGENBOSCH","secretaris@rkvvwilhelmina.nl","http://www.rkvvwilhelmina.nl","073-6426018"
"718","MEC'07","MFBM34W","MAURIK","jh.roelofs@hetnet.nl","http://www.svmec07.nl","0344-693371"
"719","Heino","BBKV886","HEINO","info@vvheino.nl","http://www.vvheino.nl","0572-393775"
"720","Only Friends","MJBJ35S","AMSTERDAM","dennis.gebbink@onlyfriends.nl","http://www.onlyfriends.nl","0615284648"
"721","MKV'29","BBBG78Z","LEEUWARDEN","bestuur@mkv29.nl","http://www.mkv29.nl","058-2800709"
"722","DWOW","BBFW17M","WIERINGERWERF","secretaris@dwow.nl","http://www.dwow.nl","0227-720405"
"723","De Wilper Boys","BBBF44H","DE WILP","secretaris@wilperboys.eu","http://www.wilperboys.eu","0594-643939"
"724","N.E.C.","SWBZ40V","NIJMEGEN","info@nec-nijmegen.nl","http://www.nec-nijmegen.nl","024-3590360"
"725","FC Aman","SMHX64L","AMSTERDAM","raoulmab@hotmail.com","http://www.aman.football/","06-14183860"
"726","Neerlandia'31","BBJC34L","DORST","bestuur@neerlandia31.nl","http://www.neerlandia31.nl","06-52275026"
"727","Achilles E","BBKT93S","ENSCHEDE","secretaris@cvvachilles.nl","http://www.cvvachilles.nl","053-4302564"
"728","SV Noordeloos","BBHZ793","NOORDELOOS","svnoordeloos@outlook.com","http://www.svnoordeloos.nl","0183581750"
"729","UVV","BBCC70O","VLEUTEN","info@uvv-voetbal.nl","http://www.uvv-voetbal.nl",
"730","Heksenberg-NEC","BBJV16A","HEERLEN","voorzitter@heksenberg-nec.nl","https://www.heksenberg-nec.nl/","06-46312267"
"731","Golden Oldies","BBBF87W","DE WESTEREEN","j.boersma02@knid.nl",,"0511-444360"
"732","Katwijk","BBGZ52H","KATWIJK ZH","w.nijgh@vvkatwijk.nl","http://www.vvkatwijk.nl","06-82728644"
"733","Hees","BBCC58G","SOEST","r.n.reumer@gmail.com","http://www.vv-hees.nl/","06-10977327"
"734","VSV","BBCZ29L","VELSERBROEK","vsv.secretaris@gmail.com","http://www.vsv1912.nl","023-5373320"
"735","Amsterdamsche Footballclub Ares","SQHM05N","AMSTERDAM",,,
"736","SJO Pekela 2000","FNXL73J","NIEUWE PEKELA","abjzweers@gmail.com","http://www.pekela2000.nl","0623558633"
"737","IJsselmeervogels","BBCC83K","BUNSCHOTEN-SPAKENBURG","secretaris@ijsselmeervogels.nl","http://www.ijsselmeervogels.nl","06-10176040"
"738","NOCKralingen","BBDY886","ROTTERDAM","anannan@xs4all.nl","http://www.nockralingen.nl","0104330195"
"739","'t Peeske","BBKS55D","BEEK GEM MONTFERLAND","veronique.berendsen@hotmail.nl","http://www.vvpeeske.nl","0316-531172"
"740","DOSKO'32","BBJC43N","DUIZEL","info@dosko32.nl","http://www.dosko32.nl","06-41767478"
"741","Schagen United","BBFX18S","SCHAGEN","mikemooij@schagenunited.nl","http://www.schagenunited.nl","06-13968980"
"742","Ravenstein","BBJG92N","RAVENSTEIN","secretariaat@vvravenstein.nl","http://www.vvravenstein.nl",
"743","VOW","BBJG30D","VEGHEL","info@vow.nl","http://www.vow.nl","06-19025744"
"744","Moerkapelle","BBDZ27Q","MOERKAPELLE","fhertog@ziggo.nl","http://www.vvmoerkapelle.nl","079-5932313"
"745","VCR","BBBD02N","RINSUMAGEAST","lsk.jilderda@knid.nl","http://www.voetbalclubrinsumageest.nl","0511-422928"
"746","Vogelwaarde","BBHZ49S","VOGELWAARDE","secretaris@vvvogelwaarde.nl","http://www.vvvogelwaarde.nl","06-30061873"
"747","RKZVC","BBKX89H","ZIEUWENT","dick.schieven@outlook.com","http://www.rkzvc.nl","0627083077"
"748","V & Z Veendam","BBBG31G","VEENDAM","secretaris@venzveendam.nl","http://www.venzveendam.nl","0598627778"
"749","ODC","BBJH03W","BOXTEL","secretaris@odcvoetbal.nl","http://www.odcvoetbal.nl","0411-685638"
"750","FC Twente","SWCB19A","ENSCHEDE","administratie@fctwente.nl","http://www.fctwente.nl","053-8525525"
"751","VVV'03","BBJT50G","VENLO","jeugd@vvv03.nl","http://vvv03.nl","077-3512117"
"752","VHK","BBBG035","SINT JANSKLOOSTER","info@svvhk.nl","http://www.svvhk.nl","0527-246223"
"753","Helpman","BBBN24H","HAREN","secretaris@vvhelpman.nl","http://www.vvhelpman.nl","06-29242517"
"754","AZC/VELVET MEN","BBGB02E","ALKMAAR","j.vreeker@gpr.nl",,"06-51189481"
"755","DSV '61","BBKR60G","DOORNSPIJK","secretariaat@dsv61.nl","http://www.dsv61.nl","0525-661506"
"756","Raamsdonk","BBJG83L","RAAMSDONK","info@vv-raamsdonk.nl","http://www.vv-raamsdonk.nl","06-43124144"
"757","FC 't Centrum","BBKR525","ENSCHEDE","visscherp@hotmail.com","http://www.fchetcentrum.nl","0644372811"
"758","De Hooiberg","BBKW56Y","OLST","remonelshof94@hotmail.com",,"0683220420"
"759","Saestum","BBCC49E","ZEIST","wedstrijdzaken@saestum.nl","http://www.saestum.nl","030-6960737"
"760","Rimboe","BBHT65Y","WOUWSE PLANTAGE","secretaris@rkvvrimboe.nl","http://www.rkvvrimboe.nl","06-43094061"
"761","Go Ahead Eagles","BBKY386","DEVENTER","m.olthof@ga-eagles.nl",,"06-13840790"
"762","Oldeholtpade","BBBC534","OLDEHOLTPADE","laisa13@hotmail.com","http://www.vvoldeholtpade.nl","0623724702"
"763","DESK","BBHX57J","KAATSHEUVEL","jsvvdesk@live.nl","http://www.vvdesk.nl","0416-276564"
"764","Wilhelmus","BBGW82B","'S-GRAVENHAGE","bestuur@vvwilhelmus.nl","http://www.vvwilhelmus.nl","070-3866595"
"765","SJO STEO","PWDV92R","STEDUM","jeugdvoetbal@svteo.nl","http://www.sjosteo.com","0615428107"
"766","Festilent","BBJK402","ZEELAND","lauraneeltjeanne@hotmail.com","http://www.festilent.nl","0655555975"
"767","ZVV SGB/Stevik","BBJV56M",,"zvv_sgb@hotmail.com","http://www.sgbstevik.nl","06-46232799"
"768","Omlandia","BBBC75C","TEN BOER","secretaris@vvomlandia.nl","http://www.vvomlandia.nl","050-5797753"
"769","MMO","BBGX549","HOOGMADE","info@mmo-hoogmade.nl","http://www.mmo-hoogmade.nl","06-27136783"
"770","Gloria UC","BBJF375","BAARLE-NASSAU","dicknooijens@hotmail.com","http://www.gloria-uc.nl","013-5078117"
"771","SSA Creil-Bant","SSTQ90F","CREIL","bestuur@sccreil.nl",,
"772","Kanja/'t Hart van Gastel","BBHX04V","OUD GASTEL","zvvkanja@gmail.com",,"06-43581584"
"773","Brederodes","BBCC30C","VIANEN UT","eroelofs@ziggo.nl","http://www.brederodes.nl","06-55121908"
"774","Aeolus","BBFB887","ROTTERDAM","bruins79@zonnet.nl","http://www.rksvaeolus.nl","0653182342"
"775","Oeken","BBKS88P","BRUMMEN","info@oeken.nl","http://www.oeken.nl","06-29005029"
"776","AFC Ajax","BBCY229","AMSTERDAM","e.lefeber@ajax.nl","http://www.ajax.nl",
"777","SC Valburg","BBKV989","VALBURG","secretaris@scvalburg.nl","http://www.scvalburg.nl","0488-431358"
"778","ZVS/Bodemflex","FJJR34W","SINT-MICHIELSGESTEL","info@zvsgestel.nl","http://www.zvsgestel.nl","06-23831861"
"779","SPS","BBHZ71T","POORTVLIET","info@voetbalsps.nl","http://www.voetbalsps.nl","0166612490"
"780","SVV '56","BBKR499","SIBCULO","secretaris.svv56@gmail.com","http://www.svv56.nl","06-83220452"
"781","SIOL","BBHZ36M","CUIJK","secretaris@siol.nl","http://www.siol.nl",
"782","AJC '96","BBKW674","LOSSER","info@ajc96.nl","http://www.ajc96.nl","053-5385663"
"783","Buitenpost","BBBB919","BUITENPOST","info@vvbuitenpost.nl","http://www.vvbuitenpost.nl","06-13411576"
"784","Haslou","BBJS637","ELSLOO LB","haslousecretaris@gmail.com","http://www.haslou.nl","046-4375957"
"785","Maliskamp","BBHW06S","ROSMALEN","info@maliskamp.nl","http://www.maliskamp.nl","073-5212055"
"786","Nagele","BBBB19R","NAGELE","vvnagele@hotmail.com","http://www.vvnagele.nl","06-30280891"
"787","zvv De Slingerij","BBBB46X","GRONINGEN","martinjan.post@gmail.com","http://www.deslingerij.nl","06-33092737"
"788","De Schutters","BBJH99Z","STAMPERSGAT","de_schutters@hotmail.com","http://www.vvdeschutters.nl","06 3878 1040"
"789","Spero","BBKT07Z","ELST GLD","secretaris@svspero.nl","http://www.svspero.nl","0481-375710"
"790","DVSU","BBBZ83Q","UTRECHT","bestuur@dvsu.nl","http://www.dvsu.nl","030-2870910"
"791","Dommelen","BBJH238","VALKENSWAARD","info@rkvvdommelen.nl","http://www.rkvvdommelen.nl","040-2016110"
"792","Milheezer Boys","BBHX83O","MILHEEZE","secretariaat@milheezerboys.nl","http://www.milheezerboys.nl/","0492-342596"
